"NOME_ESTACAO";"NOME_MUNIC";"UF";"ACETAL MED";"ACETAL DP";"BEN MED";"BEN DP";"BTEX MED";"BTEX DP";"CH MED";"CH DP";"CH4 MED";"CH4 DP";"CHO MED";"CHO DP";"CO MED";"CO DP";"COV MED";"COV DP";"DV MED";"DV DP";"ERT MED";"ERT DP";"Etil Benz MED";"Etil Benz DP";"FMC MED";"FMC DP";"FORMAL MED";"FORMAL DP";"H2S MED";"H2S DP";"HCT MED";"HCT DP";"HCnM MED";"HCnM DP";"M e P Xileno MED";"M e P Xileno DP";"MP10 MED";"MP10 DP";"MP2,5 MED";"MP2,5 DP";"NH3 MED";"NH3 DP";"NO MED";"NO DP";"NO2 MED";"NO2 DP";"NOx MED";"NOx DP";"O3 MED";"O3 DP";"Orto Xil MED";"Orto Xil DP";"PRESS MED";"PRESS DP";"PTS MED";"PTS DP";"Pb MED";"Pb DP";"RAD MED";"RAD DP";"SO2 MED";"SO2 DP";"SOx MED";"SOx DP";"TEMP MED";"TEMP DP";"TOL MED";"TOL DP";"U MED";"U DP";"UR MED";"UR DP";"VV MED";"VV DP";"XIL MED";"XIL DP"
Guarulhos-Pimentas;Guarulhos;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.1387;13.3539;34.9096;17.8387;;;;;8.29412;3.2857;;;23.8041;9.50407;;;;;;;;;;;27.7742;14.9272;;;;;;;;;;;;;;
Hospital Vital Brazil;Timóteo;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.5546;6.67454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ibirapuera;São Paulo;SP;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;31.0166;14.0974;;;;;9.2381;3.74045;;;24.8407;13.6189;;;;;;;;;;;;;;;;;;;;;;;;;;
Interlagos;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.2077;12.4765;;;;;;;7;1.56347;;;21.5933;11.8119;;;;;;;;;;;;;;;;;;;;;;;;;;
Irajá;Rio de Janeiro;RJ;;;;;;;;;2.0384;0.250858;;;0.38669;0.361188;;;160.1;82.7948;;;;;;;;;;;2.32497;0.556947;0.286364;0.517533;;;40.6025;20.3701;21.2165;14.4232;;;15.555;36.5096;30.9754;21.6691;48.2496;58.583;30.0714;26.864;;;1.35254;0.00588107;;;;;163.912;255.4;5.56938;3.09832;;;25.7996;3.77242;;;;;72.799;23.0034;0.305153;0.201847;;
Itaim Paulista;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.5963;14.9332;36.1319;16.6933;;;;;;;;;23.869;10.4638;;;;;;;;;;;;;;;;;;;;;;;;;;
Itaquera;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.9382;11.3788;;;;;;;;;;;;;;;;;;;;;;;;;;
Jacareí;Jacareí;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.563;12.4177;;;;;;;8.18033;31.5285;;;18.8041;19.7906;;;;;;;;;;;;;;;;;;;;;;;;;;
Jardim Encantado;São José da Lapa;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;866.425;299.87;254.76;419.263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jardim Profeta;Congonhas;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.6328;36.1696;;;;;;;;;;;;;;;;;53.5702;43.3117;;;;;;;;;;;;;;;;;;;;
Jaú;Jaú;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.1808;11.103;;;;;;;;;;;18.9563;6.35792;;;;;;;;;;;;;;;;;;;;;;;;;;
Jundiaí;Jundiaí;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.4923;8.8606;25.5947;10.2815;;;;;12.0667;3.23454;;;24.6932;12.9321;;;;;;;;;;;;;;;;;;;;;;;;;;
LAMARÃO;São Sebastião do Passé;BA;;;;;;;0.035757;0.242618;;;;;;;;;169.303;82.2459;0.495361;4.51463;;;;;;;;;;;;;;;;;;;;;14.5083;76.2064;5.0306;19.0804;18.4929;78.0979;21.8268;16.7573;;;1.00875;0.00266962;;;;;148.932;209.375;1.60465;11.8407;;;24.9636;3.61003;;;78.5263;13.6619;;;1.75031;1.44078;;
LEANDRINHO;Dias d'Ávila;BA;;;;;;;;;1.61391;0.531473;;;;;;;148.536;73.9056;1.13578;3.06124;;;;;;;;;1.87259;0.62042;;;;;15.8562;11.8339;7.10341;9.99115;;;2.39511;5.99195;6.39693;3.89958;8.63133;4.48078;;;;;;;;;;;;;2.91952;19.6592;;;;;;;;;;;1.41796;1.01658;;
Lagoa Trindade Rodrigues;Paracatu;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.6627;127.642;;;;;;;;;;;;;;;;;40.1247;96.4968;;;;;;;;;;;;;;;;;;;;
Limeira;Limeira;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.3286;15.0262;24.3034;8.88821;;;;;9.83333;2.46419;;;24.0798;9.15064;;;;;;;;;;;;;;;;;;;;;;;;;;
Lobo Leite;Congonhas;MG;;;;;;;;;;;;;0.143829;0.338128;;;;;;;;;;;;;;;;;;;;;35.3069;34.7684;27.1043;131.244;;;;;;;;;;;;;;;78.5569;69.8138;;;;;;;;;;;;;;;;;;;;
MACHADINHO;Camaçari;BA;;;;;;;0.0311874;0.505189;;;;;0.205316;0.65653;;;151.267;59.9134;;;;;;;;;;;;;;;;;;;;;1.52172;5.34475;5.0418;6.70278;5.59981;4.58466;10.5357;8.95257;25.6254;18.81;;;1.64246;25.0127;;;;;182.962;273.709;0.753933;6.42044;;;24.5621;3.76025;;;78.8414;13.673;;;1.22798;1.06843;;
Major Lage;Itabira;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.7189;40.0356;2.23217;37.9883;;;;;;;;;;;;;;;37.1661;38.4193;;;;;;;;;;;;;;;;;;;;
Marg.Tietê-Pte Remédios;São Paulo;SP;;;;;;;;;;;;;3;0;;;;;;;;;;;;;;;;;;;;;21.7293;12.7668;31.1306;18.0363;;;;;14.8456;5.50652;;;;;;;;;;;;;;;8.26667;17.7744;;;;;;;;;;;;;;
Marília;Marília;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.5856;10.1321;;;;;;;;;;;21.7714;7.60873;;;;;;;;;;;;;;;;;;;;;;;;;;
Mauá;Mauá;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.9809;13.0446;33.207;17.4679;;;;;;;;;21.7477;12.0923;;;;;;;;;;;;;;;;;;;;;;;;;;
Mooca;São Paulo;SP;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;28.0606;12.1337;;;;;;;;;23.4975;11.3323;;;;;;;;;;;;;;;;;;;;;;;;;;
N.Senhora do Ó;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.0438;10.9183;;;;;;;;;;;21.5161;11.2911;;;;;;;;;;;;;;;;;;;;;;;;;;
Novo Plataforma;Congonhas;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.5013;66.551;14.6568;75.5089;;;;;;;;;;;;;;;44.7519;64.8693;;;;;;;;;;;;;;;;;;;;
Osasco;Osasco;SP;;;;;;;;;;;;;4.5;1.5;;;;;;;;;;;;;;;;;;;;;28.9993;14.1609;35.2746;18.8807;;;;;14.5652;5.99874;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;
PETROSIX;São Mateus do Sul;PR;;;;;;;;;;;;;0.829989;0.768234;;;;;;;;;;;;;;;;;;;;;12.7523;18.6702;;;;;;;3.8543;2.8615;;;19.2972;9.45113;;;;;19.7629;27.5165;;;;;1.21874;2.03739;;;;;;;;;;;;;;
PONTA GROSSA;Ponta Grossa;PR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;985;6.82121e-12;;;;;;;8.35374;5.62681;;;12.8845;7.72389;;;;;464.317;472.67;;;;;;;;;;;;;;;;;;;;
PUC Barreiro;Belo Horizonte;MG;;;;;;;;;;;;;0.86119;1.26757;;;;;;;;;;;;;;;;;;;;;34.8407;99.8217;43.1636;158.836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PUC São Gabriel;Belo Horizonte;MG;;;;;;;;;;;;;1.06925;1.61505;;;;;;;;;;;;;;;;;;;;;75.5929;214.151;91.7411;272.582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Panorama;Itabira;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.0899;30.6228;10.6535;27.9867;;;;;;;;;;;;;;;39.5933;43.1769;;;;;;;;;;;;;;;;;;;;
Parque D.Pedro II;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.044;17.356;27.7813;13.4663;;;;;11.6667;2.86744;;;23.6555;11.8682;;;;;;;;;;;;;;;;;;;;;;;;;;
Pará;Itabira;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.2958;12.3605;7.20452;4.7907;;;;;;;;;;;;;;;30.0537;29.8176;;;;;;;;;;;;;;;;;;;;
Paulínia-Sta Terezinha;Paulínia;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.8163;12.7251;24.6233;8.71722;;;;;;;;;30.0915;21.8145;;;;;;;;;;;31.2286;31.3126;;;;;;;;;;;;;;
Paulínia;Paulínia;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.8296;10.0195;;;;;;;;;;;25.1678;10.3641;;;;;;;;;;;10;0;;;;;;;;;;;;;;
Pedra de Guaratiba;Rio de Janeiro;RJ;;;;;;;;;;;;;;;;;157.584;92.6955;;;;;;;;;;;;;;;;;36.0016;23.3467;;;;;;;;;;;42.4192;28.3492;;;1.3519;0.0168074;;;;;145.6;223.771;;;;;26.5397;3.5198;;;;;65.1549;29.4561;0.669386;0.377065;;
Perus;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.0336;13.2602;29.0455;11.6698;;;;;;;;;26.7153;15.1059;;;;;;;;;;;;;;;;;;;;;;;;;;
Petrovale;Betim;MG;;;;;;;;;;;;;0.790953;0.770633;;;;;;;;;;;;;;;;;;;;;20.2089;44.7533;35.9423;146.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pico do Jaraguá;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.1909;8.28412;;;;;8.51852;3.08365;;;25.0592;13.1438;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinheiros;São Paulo;SP;;;;;;;;;;;;;4.70833;2.45763;;;;;;;;;;;;;;;;;;;;;22.2981;11.257;33.174;15.417;;;;;14.0281;14.0462;;;20.1147;14.4689;;;;;;;;;;;;;;;;;;;;;;;;;;
Piracicaba;Piracicaba;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.7454;12.5955;19.5282;8.74809;;;;;;;;;23.2337;8.25259;;;;;;;;;;;;;;;;;;;;;;;;;;
Piratininga;Ibirité;MG;;;;;;;;;;;;;0.643546;0.414076;;;;;;;;;;;;;;;;;;;;;29.6689;52.0294;20.9837;93.9111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presidente Prudente;Presidente Prudente;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.5416;10.354;;;;;;;13.8095;7.5946;;;19.3786;6.62939;;;;;;;;;;;;;;;;;;;;;;;;;;
RAMQAr 1 - Laranjeiras;Serra;ES;;;;;;;;;;;;;1.27793;0.444145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.90421;2.24116;;;15.0605;7.17675;;;;;;;;;;;;;;;;;;;;;;;;;;
RAMQAr 2 - Carapina;Serra;ES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.3086;5.52942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAMQAr 3 - Jardim Camburi;Vitória;ES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.49306;2.00882;;;;;;;;;;;;;;;5.04417;5.29502;;;;;;;;;;;;;;
RAMQAr 4 - Enseada do Suá;Vitória;ES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.6999;5.04606;;;;;;;4.21325;3.31912;;;17.8332;6.63495;;;;;;;;;;;7.79222;6.83577;;;;;;;;;;;;;;
RAMQAr 5 - Vitória - Centro;Vitória;ES;;;;;;;;;;;;;2.02263;0.948256;;;;;;;;;;;;;;;;;;;;;15.1701;6.56638;;;;;;;;;;;;;;;;;;;;;;;7.54493;4.87912;;;;;;;;;;;;;;
RAMQAr 6 - Vila Velha - IBES;Vila Velha;ES;;;;;;;;;;;;;1.49659;0.559493;;;;;;;;;;;;;;;;;;;;;16.2056;5.43689;;;;;;;3.18966;2.28657;;;17.495;7.38012;;;;;;;;;;;8.87255;6.41238;;;;;;;;;;;;;;
RAMQAr 8 - Vila Capixaba;Cariacica;ES;;;;;;;;;;;;;1.38322;0.604966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.84503;2.64883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAMQAr 9 - Cidade Continental;Serra;ES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.55831;1.25214;;;;;;;;;;;;;;;2.86414;9.60724;;;;;;;;;;;;;;
REPAR;Araucária;PR;;;;;;;;;;;;;0.838323;0.319991;;;;;;;;;;;;;;;;;;;;;11.3907;10.5604;10.5711;10.1825;;;;;8.65727;7.8851;;;32.9065;13.9767;;;;;;;;;;;3.39001;9.09193;;;;;;;;;;;;;;
RIO GRANDE/MOVEL;Rio Grande;RS;;;;;;;;;;;;;1.71045;0.621674;;;;;;;;;;;;;;;;;;;;;30.0227;29.0978;;;;;;;11.5723;7.99679;;;43.5367;22.2779;;;;;;;;;;;17.4765;9.18553;;;;;;;;;;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.548;18.1849;31.4897;17.8375;;;;;;;;;23.7875;7.64114;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio Claro-Jd.Guanabara;Rio Claro;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.9082;19.5828;25.1001;11.5062;;;;;;;;;23.9852;9.12816;;;;;;;;;;;;;;;;;;;;;;;;;;
S.André-Capuava;Santo André;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.0271;12.0583;;;;;;;21.5;7.5;;;22.3248;13.4886;;;;;;;;;;;16.6538;3.95755;;;;;;;;;;;;;;
S.Bernardo-Centro;São Bernardo do Campo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.5112;11.5365;;;;;12.375;3.03881;;;23.9526;15.1123;;;;;;;;;;;;;;;;;;;;;;;;;;
S.Bernardo-Paulicéia;São Bernardo do Campo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.8618;10.9009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S.José Campos-Jd.Satelite;São José dos Campos;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.4109;8.04111;25.314;10.1582;;;;;6.26389;2.24223;;;19.8956;7.86699;;;;;;;;;;;;;;;;;;;;;;;;;;
S.José Campos;São José dos Campos;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.017;8.21663;;;;;;;3.01695;2.52775;;;21.6949;8.06177;;;;;;;;;;;21.6154;14.2642;;;;;;;;;;;;;;
SAAE;Pirapora;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64.9102;126.704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SENAC Vale do Aço;Coronel Fabriciano;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63.9982;168.06;34.0343;137.335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SENAI/CFP;Timóteo;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.4982;132.307;;;;;;;;;;;;;;;;;62.4734;115.406;;;;;;;;;;;;;;;;;;;;
Santa Gertrudes;Santa Gertrudes;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.5617;22.0948;36.1686;14.4842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santana;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.147;13.7925;;;;;;;;;19.7686;10.3438;;;;;;;;;;;;;;;;;;;;;;;;;;
Santo Amaro;Santo André;SP;;;;;;;;;;;;;3.21429;1.52027;;;;;;;;;;;;;;;;;;;;;20.1635;10.6029;;;;;;;;;;;20.8501;10.7433;;;;;;;;;;;;;;;;;;;;;;;;;;
Santos-Ponta da Praia;Santos;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.731;12.1234;20.1768;8.95732;;;;;10.2297;2.03049;;;18.7438;7.96952;;;;;;;;;;;21.4633;3.00474;;;;;;;;;;;;;;
Santos;Santos;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.2234;8.29965;;;;;;;;;;;16.01;5.93497;;;;;;;;;;;;;;;;;;;;;;;;;;
Sapo;Conceição do Mato Dentro;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.644;122.165;40.7878;168.59;;;;;;;;;;;;;;;72.9045;201.584;;;;;;;;;;;;;;;;;;;;
Sorocaba;Sorocaba;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.1934;9.58288;;;;;;;9.55556;1.49897;;;17.7857;5.69727;;;;;;;;;;;;;;;;;;;;;;;;;;
São Caetano do Sul;São Caetano do Sul;SP;;;;;;;;;;;;;1.8125;1.1302;;;;;;;;;;;;;;;;;;;;;23.1064;10.9318;28.7799;13.0212;;;;;38.3077;32.1089;;;22.4333;11.282;;;;;;;;;;;;;;;;;;;;;;;;;;
São Cristóvão;Rio de Janeiro;RJ;;;;;;;71.6145;88.3611;;;;;;;;;195.29;68.5251;;;;;;;;;;;;;;;;;36.4941;25.08;;;;;;;;;;;24.9376;22.8461;;;1.35117;0.00561978;;;;;118.879;191.61;;;;;19.3821;12.172;;;;;27.9345;35.1548;0.237134;0.165864;;
São Domingos;Paracatu;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64.8674;168.387;;;;;;;;;;;;;;;;;;;;
São José do Rio Preto;São José do Rio Preto;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.2039;14.8711;25.796;18.2943;;;;;9.5;3.5;;;23.6231;12.6889;;;;;;;;;;;;;;;;;;;;;;;;;;
Sérgio Ulhoa;Paracatu;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58.2732;164.569;64.2355;216.455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRIUNFO/POLO PETROQUÍMICO/MÓVEL;Triunfo;RS;;;;;;;;;;;;;0.0599587;0.0873427;;;;;;;;;;;;;;;;;;;;;37.908;12.1873;;;;;;;7.05522;5.62444;;;13.5296;9.88969;;;;;;;;;;;0.646567;0.857845;;;;;;;;;;;;;;
Taboão da Serra;Taboão da Serra;SP;;;;;;;;;;;;;4.37607;3.18578;;;;;;;;;;;;;;;;;;;;;22.2076;13.5449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tatuí;Tatuí;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.6133;12.0819;;;;;;;;;;;19.1829;7.34009;;;;;;;;;;;;;;;;;;;;;;;;;;
Taubaté;Taubaté;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.9904;9.73122;19.906;8.39708;;;;;15.625;5.02338;;;21.6387;9.58506;;;;;;;;;;;;;;;;;;;;;;;;;;
Tijuca;Rio de Janeiro;RJ;;;;;;;107.103;217.385;;;;;0.851778;14.7053;;;205.818;69.0266;;;;;;;;;;;;;;;;;28.2262;17.7759;;;;;12.293;12.9946;35.9686;26.4003;47.9678;33.6061;32.7672;25.1031;;;1.35076;0.00540452;;;;;148.676;246.659;-9.999;3.55271e-15;;;28.1135;5.58052;;;;;64.6862;20.9263;0.153705;0.101019;;
Veneza;Ipatinga;MG;;;;;;;;;;;;;0.33168;0.275647;;;;;;;;;;;;;;;;;;;;;24.5386;15.5938;14.5779;62.6794;;;;;;;;;;;;;;;46.0014;27.509;;;;;;;;;;;;;;;;;;;;
